Time 	Distance	 Laps	 µ	FrictionForce
0,100	0	0,00000	0,14521	0,43562
0,200	0,00271074590273201	0,14286	0,11051	0,33154
0,300	0,00542149180546403	0,28571	0,11387	0,34161
0,400	0,00813223700970411	0,42857	0,12267	0,36801
0,500	0,0108429836109281	0,57143	0,12542	0,37625
0,600	0,0135537292808294	0,71429	0,13855	0,41565
0,700	0,0162644740194082	0,85714	0,13189	0,39568
0,800	0,0189752206206322	1,00000	0,12265	0,36794
0,900	0,0213471241295338	1,12500	0,11888	0,35665
1,000	0,0237190257757902	1,25000	0,11531	0,34592
1,100	0,0260909274220467	1,37500	0,11511	0,34533
1,200	0,0284628309309483	1,50000	0,12282	0,36844
1,300	0,0308347344398499	1,62500	0,13219	0,39657
1,400	0,0332066342234612	1,75000	0,13444	0,40331
1,500	0,0355785377323627	1,87500	0,12805	0,38415
1,600	0,0379504412412643	2,00000	0,12237	0,36711
1,700	0,0406611859798431	2,14286	0,11396	0,34187
1,800	0,0433719344437122	2,28571	0,11326	0,33979
1,900	0,046082679182291	2,42857	0,12379	0,37136
2,000	0,0487934239208698	2,57143	0,12450	0,37349
2,100	0,0515041686594486	2,71429	0,13499	0,40498
2,200	0,0542149171233177	2,85714	0,13326	0,39977
2,300	0,0569256618618965	3,00000	0,12396	0,37187
2,400	0,0592975653707981	3,12500	0,12106	0,36319
2,500	0,0616694688796997	3,25000	0,11287	0,33861
2,600	0,064041368663311	3,37500	0,11576	0,34728
2,700	0,0664132684469223	3,50000	0,12696	0,38088
2,800	0,0687851756811142	3,62500	0,12962	0,38887
2,900	0,0711570754647255	3,75000	0,13567	0,40702
3,000	0,0735289826989174	3,87500	0,13105	0,39316
3,100	0,0759008824825287	4,00000	0,12303	0,36909
3,200	0,07827278226614	4,12500	0,11770	0,35310
3,300	0,0806446895003319	4,25000	0,11271	0,33813
3,400	0,0830165892839432	4,37500	0,12193	0,36578
3,500	0,0853884965181351	4,50000	0,12808	0,38425
3,600	0,0877603963017464	4,62500	0,13508	0,40525
3,700	0,0901322960853577	4,75000	0,13449	0,40347
3,800	0,0925042033195496	4,87500	0,12753	0,38259
3,900	0,0948761031031609	5,00000	0,12085	0,36254
4,000	0,0975868478417397	5,14286	0,11671	0,35013
4,100	0,100297592580318	5,28571	0,11699	0,35097
4,200	0,103008337318897	5,42857	0,12629	0,37886
4,300	0,105719089508057	5,57143	0,13053	0,39159
4,400	0,108429834246635	5,71429	0,13732	0,41196
4,500	0,111140578985214	5,85714	0,13183	0,39549
4,600	0,113851323723793	6,00000	0,12723	0,38168
4,700	0,116223230957985	6,12500	0,11840	0,35519
4,800	0,118595130741596	6,25000	0,11359	0,34078
4,900	0,120967030525208	6,37500	0,12415	0,37246
5,000	0,123338937759399	6,50000	0,12778	0,38335
5,100	0,125710844993591	6,62500	0,13487	0,40461
5,200	0,128082752227783	6,75000	0,13832	0,41495
5,300	0,130454644560814	6,87500	0,12788	0,38363
5,400	0,132826551795006	7,00000	0,12636	0,37907
5,500	0,135198459029198	7,12500	0,11719	0,35157
5,600	0,137570351362228	7,25000	0,11321	0,33964
5,700	0,13994225859642	7,37500	0,13027	0,39082
5,800	0,142314165830612	7,50000	0,13850	0,41550
5,900	0,144686058163643	7,62500	0,13235	0,39704
6,000	0,147057965397835	7,75000	0,14644	0,43932
6,100	0,149429857730865	7,87500	0,13875	0,41624
6,200	0,151801764965057	8,00000	0,13012	0,39037
6,300	0,154173672199249	8,12500	0,12986	0,38959
6,400	0,156545579433441	8,25000	0,11822	0,35466
6,500	0,158917471766472	8,37500	0,12461	0,37384
6,600	0,161289379000664	8,50000	0,14056	0,42168
6,700	0,163661286234856	8,62500	0,13469	0,40407
6,800	0,166033178567886	8,75000	0,14001	0,42003
6,900	0,168405085802078	8,87500	0,13629	0,40887
7,000	0,17077699303627	9,00000	0,13031	0,39094
7,100	0,173148900270462	9,12500	0,12111	0,36332
7,200	0,175520792603493	9,25000	0,11756	0,35267
7,300	0,177892699837685	9,37500	0,13098	0,39294
7,400	0,180264592170715	9,50000	0,13731	0,41194
7,500	0,182636499404907	9,62500	0,14112	0,42335
7,600	0,185008406639099	9,75000	0,14052	0,42156
7,700	0,18738029897213	9,87500	0,13315	0,39943
7,800	0,189752206206322	10,00000	0,12772	0,38316
7,900	0,192462950944901	10,14286	0,12039	0,36118
8,000	0,195173695683479	10,28571	0,12228	0,36683
8,100	0,197884440422058	10,42857	0,13567	0,40700
8,200	0,200595200061798	10,57143	0,14187	0,42562
8,300	0,203305944800377	10,71429	0,14320	0,42961
8,400	0,206016689538956	10,85714	0,13818	0,41453
8,500	0,208727434277534	11,00000	0,13428	0,40283
8,600	0,211099341511726	11,12500	0,12346	0,37037
8,700	0,213471233844757	11,25000	0,11765	0,35296
8,800	0,215843141078949	11,37500	0,13024	0,39071
8,900	0,218215048313141	11,50000	0,14075	0,42226
9,000	0,220586940646172	11,62500	0,14393	0,43179
9,100	0,222958847880363	11,75000	0,14439	0,43317
9,200	0,225330740213394	11,87500	0,13504	0,40511
9,300	0,227702647447586	12,00000	0,13589	0,40768
9,400	0,230413392186165	12,14286	0,11894	0,35682
9,500	0,233124136924744	12,28571	0,11905	0,35716
9,600	0,235834881663322	12,42857	0,13761	0,41284
9,700	0,238545641303062	12,57143	0,14727	0,44182
