Time 	Distance	 Laps	 µ	FrictionForce
0,100	0	0,00000	0,11782	0,35347
0,200	0,00271164323203266	0,14286	0,13305	0,39915
0,300	0,00542328646406531	0,28571	0,17303	0,51908
0,400	0,0081349303945899	0,42857	0,18976	0,56928
0,500	0,0108465729281306	0,57143	0,16953	0,50858
0,600	0,0135582163929939	0,71429	0,14049	0,42146
0,700	0,0162698607891798	0,85714	0,11073	0,33218
0,800	0,0189815033227205	1,00000	0,10162	0,30486
0,900	0,02135419100523	1,12500	0,12021	0,36063
1,000	0,0237268786877394	1,25000	0,15292	0,45877
1,100	0,0260995663702488	1,37500	0,18465	0,55394
1,200	0,0284722559154034	1,50000	0,18772	0,56315
1,300	0,0308449435979128	1,62500	0,15851	0,47554
1,400	0,0332176312804222	1,75000	0,12691	0,38074
1,500	0,0355903171002865	1,87500	0,10631	0,31893
1,600	0,0379630066454411	2,00000	0,10925	0,32774
1,700	0,0406746491789818	2,14286	0,13344	0,40033
1,800	0,0433862917125225	2,28571	0,16783	0,50348
1,900	0,0460979342460632	2,42857	0,19166	0,57500
2,000	0,0488095805048943	2,57143	0,17840	0,53522
2,100	0,051521223038435	2,71429	0,14611	0,43832
2,200	0,0542328655719757	2,85714	0,11634	0,34902
2,300	0,0569445081055164	3,00000	0,10650	0,31950
2,400	0,059317197650671	3,12500	0,11668	0,35003
2,500	0,0616898834705353	3,25000	0,15113	0,45339
2,600	0,0640625730156898	3,37500	0,18624	0,55871
2,700	0,0664352625608444	3,50000	0,19063	0,57190
2,800	0,068807952105999	3,62500	0,16397	0,49191
2,900	0,071180634200573	3,75000	0,13502	0,40505
3,000	0,0735533237457275	3,87500	0,10943	0,32828
3,100	0,0759260132908821	4,00000	0,10774	0,32323
3,200	0,0782987028360367	4,12500	0,13173	0,39519
3,300	0,0806713849306107	4,25000	0,16730	0,50191
3,400	0,0830440744757652	4,37500	0,18975	0,56924
3,500	0,0854167640209198	4,50000	0,18431	0,55293
3,600	0,0877894535660744	4,62500	0,15345	0,46036
3,700	0,0901621431112289	4,75000	0,12235	0,36705
3,800	0,0925348252058029	4,87500	0,10609	0,31827
3,900	0,0949075147509575	5,00000	0,11525	0,34574
4,000	0,0976191610097885	5,14286	0,14717	0,44151
4,100	0,100330799818039	5,28571	0,17974	0,53922
4,200	0,10304244607687	5,42857	0,19361	0,58083
4,300	0,10575408488512	5,57143	0,17094	0,51282
4,400	0,108465731143951	5,71429	0,14142	0,42425
4,500	0,111177369952202	5,85714	0,11349	0,34047
4,600	0,113889016211033	6,00000	0,10701	0,32103
4,700	0,116261705756187	6,12500	0,12678	0,38034
4,800	0,118634387850761	6,25000	0,16324	0,48971
4,900	0,121007077395916	6,37500	0,19105	0,57314
5,000	0,123379766941071	6,50000	0,18658	0,55973
5,100	0,125752449035645	6,62500	0,15834	0,47502
5,200	0,128125131130219	6,75000	0,12981	0,38943
5,300	0,130497828125954	6,87500	0,10852	0,32555
5,400	0,132870510220528	7,00000	0,11122	0,33367
5,500	0,135582149028778	7,14286	0,14389	0,43167
5,600	0,13829380273819	7,28571	0,17614	0,52842
5,700	0,14100544154644	7,42857	0,19435	0,58305
5,800	0,143717095255852	7,57143	0,17727	0,53182
5,900	0,146428734064102	7,71429	0,14825	0,44476
6,000	0,149140387773514	7,85714	0,11907	0,35720
6,100	0,151852026581764	8,00000	0,10640	0,31921
6,200	0,154224708676338	8,12500	0,12214	0,36641
6,300	0,156597405672073	8,25000	0,15962	0,47885
6,400	0,158970087766647	8,37500	0,18720	0,56161
6,500	0,161342769861221	8,50000	0,19114	0,57341
6,600	0,163715466856956	8,62500	0,16700	0,50101
6,700	0,16608814895153	8,75000	0,13613	0,40840
6,800	0,168460845947266	8,87500	0,11126	0,33379
6,900	0,17083352804184	9,00000	0,11077	0,33231
7,000	0,173206210136414	9,12500	0,13964	0,41893
7,100	0,175578907132149	9,25000	0,17116	0,51347
7,200	0,177951589226723	9,37500	0,19545	0,58636
7,300	0,180324286222458	9,50000	0,18368	0,55105
7,400	0,182696968317032	9,62500	0,15377	0,46131
7,500	0,185069650411606	9,75000	0,12664	0,37993
7,600	0,187442347407341	9,87500	0,10873	0,32620
7,700	0,189815029501915	10,00000	0,11673	0,35018
7,800	0,192526668310165	10,14286	0,15869	0,47606
7,900	0,195238322019577	10,28572	0,18390	0,55169
8,000	0,197949960827827	10,42857	0,19602	0,58807
8,100	0,200661599636078	10,57143	0,17434	0,52301
8,200	0,203373238444328	10,71429	0,14444	0,43332
8,300	0,20608489215374	10,85714	0,11632	0,34897
8,400	0,20879653096199	11,00000	0,10998	0,32994
8,500	0,211169213056564	11,12500	0,13238	0,39715
8,600	0,2135419100523	11,25000	0,17326	0,51977
8,700	0,215914592146873	11,37500	0,19586	0,58758
8,800	0,218287289142609	11,50000	0,19074	0,57221
8,900	0,220659971237183	11,62500	0,16225	0,48676
9,000	0,223032653331757	11,75000	0,13368	0,40103
9,100	0,225405350327492	11,87500	0,11211	0,33632
9,200	0,227778032422066	12,00000	0,11377	0,34131
9,300	0,230489671230316	12,14286	0,15544	0,46633
9,400	0,233201324939728	12,28571	0,18314	0,54941
9,500	0,235912963747978	12,42857	0,20156	0,60469
9,600	0,238624602556229	12,57143	0,18035	0,54105
9,700	0,241336241364479	12,71429	0,15263	0,45789
9,800	0,244047895073891	12,85714	0,12220	0,36661
9,900	0,246759533882141	13,00000	0,11087	0,33261
10,000	0,249132215976715	13,12500	0,12582	0,37747
10,100	0,251504898071289	13,25000	0,17555	0,52666
10,200	0,253877580165863	13,37500	0,19233	0,57700
10,300	0,256250262260437	13,50000	0,19887	0,59660
10,400	0,258622974157333	13,62500	0,17100	0,51301
10,500	0,260995656251907	13,75000	0,14055	0,42165
10,600	0,263368338346481	13,87500	0,11602	0,34805
10,700	0,265741020441055	14,00000	0,11280	0,33841
10,800	0,268113702535629	14,12500	0,15142	0,45427
10,900	0,270486414432526	14,25000	0,18038	0,54114
11,000	0,2728590965271	14,37500	0,20338	0,61015
11,100	0,275231778621674	14,50000	0,18957	0,56870
11,200	0,277604460716248	14,62500	0,15972	0,47917
11,300	0,279977142810822	14,75000	0,12922	0,38767
11,400	0,282349854707718	14,87500	0,11389	0,34168
11,500	0,284722536802292	15,00000	0,12012	0,36035
11,600	0,287434190511703	15,14286	0,17522	0,52565
11,700	0,290145814418793	15,28571	0,18995	0,56986
11,800	0,292857468128204	15,42857	0,20339	0,61016
11,900	0,295569121837616	15,57143	0,18025	0,54076
12,000	0,298280775547028	15,71429	0,14934	0,44802
12,100	0,300992399454117	15,85714	0,12100	0,36301
12,200	0,303704053163528	16,00000	0,11316	0,33947
12,300	0,306076735258102	16,12500	0,14161	0,42482
12,400	0,308449417352676	16,25000	0,19193	0,57580
12,500	0,31082209944725	16,37500	0,20208	0,60624
12,600	0,313194811344147	16,50000	0,19765	0,59295
12,700	0,315567493438721	16,62500	0,16863	0,50588
12,800	0,317940175533295	16,75000	0,13653	0,40960
12,900	0,320312857627869	16,87500	0,11804	0,35411
13,000	0,322685539722443	17,00000	0,11706	0,35119
13,100	0,325397193431854	17,14286	0,17752	0,53255
13,200	0,328108817338943	17,28571	0,19571	0,58713
13,300	0,330820471048355	17,42857	0,21005	0,63016
13,400	0,333532124757767	17,57143	0,18738	0,56214
13,500	0,336243778467178	17,71429	0,15810	0,47430
13,600	0,338955402374268	17,85714	0,12699	0,38096
13,700	0,341667056083679	18,00000	0,11490	0,34470
13,800	0,344039738178253	18,12500	0,13099	0,39297
13,900	0,346412420272827	18,25000	0,21798	0,65396
14,000	0,348785102367401	18,37500	0,20105	0,60314
14,100	0,351157784461975	18,50000	0,20463	0,61388
14,200	0,353530496358871	18,62500	0,17927	0,53780
14,300	0,355903178453445	18,75000	0,14519	0,43558
14,400	0,358275860548019	18,87500	0,12182	0,36547
14,500	0,360648542642593	19,00000	0,11620	0,34860
14,600	0,363021224737167	19,12500	0,17526	0,52577
14,700	0,365393936634064	19,25000	0,22506	0,67519
14,800	0,367766618728638	19,37500	0,21277	0,63832
14,900	0,370139300823212	19,50000	0,19679	0,59038
15,000	0,372511982917786	19,62500	0,16645	0,49935
15,100	0,37488466501236	19,75000	0,13388	0,40164
15,200	0,377257376909256	19,87500	0,11974	0,35924
15,300	0,37963005900383	20,00000	0,12398	0,37194
15,400	0,382341712713242	20,14286	0,23503	0,70510
15,500	0,385053336620331	20,28571	0,21488	0,64464
15,600	0,387764990329742	20,42857	0,21534	0,64602
15,700	0,390476614236832	20,57143	0,18728	0,56183
15,800	0,393188267946243	20,71429	0,15522	0,46566
15,900	0,395899891853333	20,85714	0,12759	0,38276
16,000	0,398611545562744	21,00000	0,11696	0,35089
16,100	0,400984227657318	21,12500	0,15553	0,46658
16,200	0,403356909751892	21,25000	0,28472	0,85417
16,300	0,405729621648788	21,37500	0,22016	0,66048
16,400	0,408102303743362	21,50000	0,20773	0,62318
16,500	0,410474985837936	21,62500	0,18064	0,54192
16,600	0,412847697734833	21,75000	0,13910	0,41729
16,700	0,415220379829407	21,87500	0,12550	0,37651
16,800	0,417593061923981	22,00000	0,12175	0,36526
16,900	0,420304715633392	22,14286	0,24241	0,72724
17,000	0,423016339540482	22,28572	0,27651	0,82952
17,100	0,425727993249893	22,42857	0,22682	0,68046
17,200	0,428439617156982	22,57143	0,19007	0,57022
17,300	0,431151270866394	22,71428	0,16920	0,50761
17,400	0,433862894773483	22,85714	0,13471	0,40414
17,500	0,436574548482895	23,00000	0,11873	0,35619
17,600	0,438947230577469	23,12500	0,13887	0,41662
17,700	0,441319942474365	23,25000	0,33608	1,00823
17,800	0,443692624568939	23,37500	0,24193	0,72580
17,900	0,446065306663513	23,50000	0,22676	0,68028
18,000	0,448437988758087	23,62500	0,18920	0,56760
18,100	0,450810670852661	23,75000	0,14724	0,44171
18,200	0,453183382749557	23,87500	0,13697	0,41090
18,300	0,455556064844131	24,00000	0,12176	0,36529
18,400	0,457928746938705	24,12500	0,22375	0,67125
18,500	0,460301429033279	24,25000	0,36789	1,10366
18,600	0,462674111127853	24,37500	0,23565	0,70694
18,700	0,46504682302475	24,50000	0,20129	0,60387
18,800	0,467419505119324	24,62500	0,19029	0,57087
18,900	0,469792187213898	24,75000	0,13886	0,41657
19,000	0,472164869308472	24,87500	0,12722	0,38166
19,100	0,474537551403046	25,00000	0,13427	0,40281
19,200	0,477249205112457	25,14286	0,37016	1,11047
19,300	0,479960829019547	25,28571	0,30813	0,92438
19,400	0,482672482728958	25,42857	0,25275	0,75824
19,500	0,48538413643837	25,57143	0,18678	0,56034
